stop_id,stop_name,zone_id,stop_lat,stop_lon
58342,Reddipalle-Moinabad,Reddipalle-Moinabad,17.373108,78.246205
58343,Mothukupalle-Moinabad,Mothukupalle-Moinabad,17.380585,78.237591
58344,Chinna Mangalaram,Chinna Mangalaram,17.390721,78.227017
58345,Mothukupalle-Moinabad,Mothukupalle-Moinabad,17.380649,78.237655
58346,Chandanagar-Moinabad,Chandanagar-Moinabad,17.366713,78.259067
58347,Appojiguda,Appojiguda,17.371733,78.275527
58348,Rallaguda,Rallaguda,17.265,78.374106
58349,Doddi,Doddi,17.263974,78.368681
58350,Oasis School Of Excellence,Oasis School Of Excellence,17.262143,78.352709
58351,Narkhoda,Narkhoda,17.258,78.335
58352,Sultanpally X Roads,Sultanpally X Roads,17.256247,78.319441
58353,Vardhaman Clg,Vardhaman Clg,17.254,78.308
58354,Kacharam,Kacharam,17.252,78.295
58355,Rayannaguda,Rayannaguda,17.252,78.29
58356,Malkaram,Malkaram,17.251,78.276
58357,Kavelliguda,Kavelliguda,17.247435,78.256935
58358,Venkatapur-Moinabad,Venkatapur-Moinabad,17.247025,78.253786
58359,Ramanujapur-Shamshabad,Ramanujapur-Shamshabad,17.233463,78.246962
58360,Maddur,Maddur,17.217,78.226
58361,Unknown,UNKNOWN,17.218902,78.2127
58362,Hayathabad,Hayathabad,17.225,78.199
58363,Unknown,UNKNOWN,17.225745,78.185956
58364,Chandanvelly,Chandanvelly,17.229,78.17
58365,Rudraram-Shabad,Rudraram-Shabad,17.235364,78.15794
58366,Nagarguda,Nagarguda,17.234008,78.136285
58367,Allwada,Allwada,17.254714,78.136433
58368,Kamena,Kamena,17.299,78.146
58369,Malreddyguda,Malreddyguda,17.304055,78.146098
58370,Malreddyguda,Malreddyguda,17.303968,78.146208
58371,Allwada,Allwada,17.254697,78.136552
58372,Nagarguda,Nagarguda,17.23401,78.136408
58373,Rudraram-Shabad,Rudraram-Shabad,17.235472,78.158069
58374,Unknown,UNKNOWN,17.226049,78.185964
58375,Hayathabad,Hayathabad,17.225,78.2
58376,Unknown,UNKNOWN,17.218999,78.212764
58377,Ramanujapur-Shamshabad,Ramanujapur-Shamshabad,17.232689,78.24656
58378,Venkatapur-Moinabad,Venkatapur-Moinabad,17.247076,78.253716
58379,Kavelliguda,Kavelliguda,17.247672,78.256856
58380,Rayannaguda,Rayannaguda,17.252712,78.290205
58381,Vardhaman Clg,Vardhaman Clg,17.254413,78.307897
58382,Kavelliguda,Kavelliguda,17.256492,78.31943
58383,Doddi,Doddi,17.263685,78.368075
58384,Rallaguda,Rallaguda,17.265035,78.374209
58385,Rethibowli,Rethibowli,17.396058,78.431656
